epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1482.61,0.48305,0.35879,0.97486,0.98504,0.96525,0.98555,0.94889,0.3366,0.26614,0.84128,0.0007724,0.0007724,0.0007724
64,1506.9,0.49251,0.37564,0.97838,0.98778,0.94828,0.9875,0.94723,0.35427,0.28324,0.8309,0.0007526,0.0007526,0.0007526
65,1531.88,0.48342,0.36748,0.96928,0.98812,0.97555,0.98838,0.96179,0.31914,0.24902,0.82414,0.0007328,0.0007328,0.0007328
66,1555.92,0.47188,0.35586,0.96483,0.97935,0.97368,0.98745,0.95158,0.3254,0.2402,0.83594,0.000713,0.000713,0.000713
67,1582.31,0.47358,0.35686,0.96593,0.97303,0.97947,0.98691,0.94776,0.33643,0.26341,0.83888,0.0006932,0.0006932,0.0006932
68,1606.69,0.49228,0.36286,0.97837,0.99079,0.94649,0.98753,0.95449,0.31736,0.2593,0.83959,0.0006734,0.0006734,0.0006734
69,1637.63,0.47744,0.35857,0.96308,0.96643,0.97067,0.98698,0.9475,0.32454,0.27019,0.83336,0.0006536,0.0006536,0.0006536
70,1668.53,0.46562,0.34727,0.96799,0.96844,0.97654,0.9867,0.96008,0.31166,0.25237,0.82763,0.0006338,0.0006338,0.0006338
71,1698.26,0.48066,0.36091,0.9699,0.98771,0.96481,0.9872,0.95223,0.3142,0.24686,0.82305,0.000614,0.000614,0.000614
72,1728.91,0.47018,0.35217,0.9651,0.98971,0.96774,0.98786,0.95739,0.31053,0.2481,0.81777,0.0005942,0.0005942,0.0005942
73,1758,0.46062,0.34867,0.96244,0.99596,0.96481,0.98828,0.95518,0.33254,0.23431,0.83157,0.0005744,0.0005744,0.0005744
74,1786.88,0.45237,0.3459,0.95673,0.97092,0.97899,0.98736,0.95606,0.32269,0.25548,0.82305,0.0005546,0.0005546,0.0005546
75,1815.93,0.45042,0.33797,0.95146,0.97323,0.97654,0.98756,0.95543,0.31575,0.24827,0.83657,0.0005348,0.0005348,0.0005348
76,1845.47,0.46857,0.34614,0.9594,0.97764,0.97654,0.98746,0.95145,0.31811,0.24083,0.83236,0.000515,0.000515,0.000515
77,1874.29,0.45484,0.33836,0.9579,0.98501,0.96369,0.98712,0.96172,0.28332,0.2447,0.82225,0.0004952,0.0004952,0.0004952
78,1905.17,0.44517,0.33066,0.9549,0.9844,0.97947,0.98804,0.95992,0.29951,0.22721,0.81504,0.0004754,0.0004754,0.0004754
79,1936.45,0.45475,0.33225,0.96045,0.98752,0.97654,0.98772,0.95433,0.31822,0.23881,0.82222,0.0004556,0.0004556,0.0004556
80,1965.42,0.45854,0.33738,0.95803,0.98197,0.97067,0.98753,0.95314,0.32199,0.24141,0.82811,0.0004358,0.0004358,0.0004358
81,1995.94,0.44774,0.33703,0.9583,0.96927,0.97654,0.98821,0.95667,0.31325,0.23662,0.81975,0.000416,0.000416,0.000416
82,2025.91,0.44248,0.32417,0.95408,0.98909,0.97067,0.98827,0.95603,0.31281,0.23229,0.82346,0.0003962,0.0003962,0.0003962
83,2055.04,0.44366,0.32915,0.95293,0.99219,0.96481,0.98602,0.95401,0.30842,0.23717,0.82073,0.0003764,0.0003764,0.0003764
84,2084.12,0.41648,0.31134,0.94625,0.98222,0.97194,0.98681,0.95212,0.29934,0.23077,0.81533,0.0003566,0.0003566,0.0003566
85,2113.98,0.43458,0.32076,0.94885,0.98285,0.97654,0.98755,0.95664,0.29252,0.23922,0.81087,0.0003368,0.0003368,0.0003368
86,2143.68,0.42779,0.31313,0.94364,0.97945,0.97839,0.988,0.95578,0.2978,0.23626,0.80834,0.000317,0.000317,0.000317
87,2174.21,0.4221,0.30909,0.94689,0.9816,0.97361,0.98762,0.95962,0.28464,0.21933,0.81409,0.0002972,0.0002972,0.0002972
