epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1317.19,0.87293,0.66836,1.01276,0.89535,0.86378,0.9458,0.90278,0.31773,0.35548,0.7923,0.00026422,0.00026422,0.00026422
87,1332.7,0.87102,0.66651,1.01756,0.89546,0.86479,0.94598,0.90349,0.3185,0.35857,0.79457,0.000247716,0.000247716,0.000247716
88,1347.91,0.85626,0.65369,1.01556,0.89526,0.86293,0.94659,0.90669,0.31183,0.35093,0.7929,0.000231213,0.000231213,0.000231213
89,1363.11,0.86561,0.65308,1.01188,0.89541,0.86435,0.94718,0.90685,0.31048,0.34822,0.79484,0.00021471,0.00021471,0.00021471
90,1378.29,0.8577,0.65731,1.01723,0.8954,0.86425,0.94688,0.90735,0.30561,0.34776,0.79261,0.000198206,0.000198206,0.000198206
91,1394.06,0.81474,0.60978,0.97131,0.89117,0.86058,0.946,0.90305,0.31735,0.34778,0.79406,0.000181703,0.000181703,0.000181703
92,1408.93,0.79952,0.58547,0.95697,0.88793,0.87019,0.94562,0.90024,0.32345,0.34796,0.79546,0.0001652,0.0001652,0.0001652
93,1424.05,0.80202,0.57325,0.96222,0.87456,0.87147,0.94616,0.90385,0.31519,0.34354,0.79514,0.000148696,0.000148696,0.000148696
94,1439.05,0.78711,0.58505,0.96274,0.8826,0.86749,0.94496,0.90388,0.30958,0.33954,0.79391,0.000132193,0.000132193,0.000132193
95,1453.98,0.79625,0.57362,0.96054,0.88211,0.87019,0.94577,0.90378,0.31137,0.34197,0.79467,0.00011569,0.00011569,0.00011569
96,1469.04,0.79096,0.57728,0.95841,0.88667,0.86538,0.9466,0.90754,0.30306,0.33995,0.79285,9.91865e-05,9.91865e-05,9.91865e-05
