epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1039.1,0.82168,0.64962,1.00074,0.82016,0.67831,0.74895,0.61554,1.0663,0.92593,1.18052,0.000280723,0.000280723,0.000280723
86,1051.49,0.82772,0.64702,1.01198,0.82847,0.67097,0.74004,0.60992,1.06103,0.94791,1.17505,0.00026422,0.00026422,0.00026422
87,1063.5,0.81479,0.65047,1.0004,0.83114,0.67267,0.74519,0.60938,1.06328,0.94826,1.17009,0.000247716,0.000247716,0.000247716
88,1075.53,0.80594,0.65253,0.99959,0.81573,0.6752,0.74527,0.61043,1.05574,0.92691,1.16701,0.000231213,0.000231213,0.000231213
89,1087.55,0.7937,0.63104,0.99224,0.81869,0.67316,0.74559,0.61234,1.05007,0.93231,1.1622,0.00021471,0.00021471,0.00021471
90,1099.58,0.83675,0.65882,1.0104,0.85004,0.66525,0.74761,0.61571,1.03853,0.92874,1.15022,0.000198206,0.000198206,0.000198206
91,1112.1,0.76918,0.59765,0.96029,0.83547,0.66553,0.74245,0.61013,1.05457,0.92674,1.16672,0.000181703,0.000181703,0.000181703
92,1124.02,0.75968,0.57206,0.95485,0.84529,0.66223,0.74531,0.61518,1.05014,0.92785,1.16714,0.0001652,0.0001652,0.0001652
93,1135.91,0.75353,0.56974,0.94759,0.79304,0.68639,0.74353,0.6115,1.04543,0.93259,1.16672,0.000148696,0.000148696,0.000148696
94,1147.8,0.75515,0.55864,0.9485,0.78819,0.6944,0.74485,0.61433,1.04457,0.91881,1.16527,0.000132193,0.000132193,0.000132193
95,1159.71,0.7318,0.55593,0.93861,0.83582,0.65609,0.7432,0.61282,1.04443,0.93149,1.16348,0.00011569,0.00011569,0.00011569
96,1171.61,0.73754,0.54522,0.93642,0.83027,0.66129,0.74447,0.61483,1.0341,0.93057,1.15807,9.91865e-05,9.91865e-05,9.91865e-05
97,1183.5,0.74188,0.55198,0.95116,0.83572,0.66064,0.74402,0.61544,1.03842,0.92897,1.16126,8.26832e-05,8.26832e-05,8.26832e-05
98,1195.34,0.72484,0.53579,0.93591,0.83682,0.66597,0.74499,0.61456,1.0372,0.92941,1.16245,6.61799e-05,6.61799e-05,6.61799e-05
99,1207.22,0.71355,0.53397,0.93479,0.83364,0.66494,0.74478,0.61564,1.03337,0.93915,1.15653,4.96766e-05,4.96766e-05,4.96766e-05
100,1219.1,0.72187,0.53639,0.93572,0.83721,0.66782,0.74709,0.61739,1.03155,0.93458,1.15729,3.31733e-05,3.31733e-05,3.31733e-05
